id,question,answer a,answer b,answer c,answer d,right answer
1,Quelle est la signification de l'acronyme "HTTP" ?,HyperText Transfer Protocol,HyperText Transmission Protocol,HyperText Transfer Procedure,HighText Transfer Protocol,a
2,Quel composant est considéré comme le "cerveau" de l'ordinateur ?,Le disque dur,Le processeur,La mémoire RAM,La carte graphique,b
3,Quel système d'exploitation est développé par Microsoft ?,Linux,MacOS,Windows,Android,c
4,Lequel de ces langages est un langage de programmation ?,HTML,HTTP,Java,CSS,c
5,Qu'est-ce qu'un "navigateur" ?,Un logiciel pour imprimer,Un logiciel pour accéder à Internet,Un type de virus,Une carte réseau,b
6,Quel protocole est utilisé pour envoyer des emails ?,FTP,SMTP,HTTP,TCP,b
7,Quelle unité mesure la vitesse de transmission des données ?,Octet,Gigahertz,Bit par seconde,Mètre,c
8,Que signifie l’acronyme "USB" ?,Universal Serial Bus,Universal System Bus,Uniform Serial Bus,Unified System Bus,a
9,Quel est le principal langage utilisé pour la création de pages web statiques ?,CSS,HTML,Python,Java,b
10,Quel dispositif est utilisé pour connecter un ordinateur à un réseau local ?,Modem,Routeur,Switch,Clavier,c
11,Quel système de fichiers est couramment utilisé sous Windows ?,EXT4,NTFS,FAT32,HFS+,b
12,Quelle commande Linux permet de lister les fichiers d'un dossier ?,ls,dir,list,show,a
13,Quel est l'objectif principal du "cloud computing" ?,Stocker les données localement,Calculer rapidement,Offrir des services via Internet,Améliorer la vitesse du processeur,c
14,Qu’est-ce qu’un "firewall" ?,Un pare-feu logiciel ou matériel,Un virus dangereux,Un protocole réseau,Un type de câble,a
15,Quel est le langage principalement utilisé pour le développement d'applications Android ?,Java,C#,Swift,Objective-C,a
16,Quelle est l'abréviation de "CPU" ?,Central Process Unit,Central Processing Unit,Computer Power Unit,Control Processing Unit,b
17,Quelle technologie permet la connexion sans fil à Internet ?,Bluetooth,Wi-Fi,Ethernet,USB,b
18,Lequel de ces éléments est un système de gestion de base de données ?,MySQL,HTML,CSS,JavaScript,a
19,Quel type de mémoire est volatile ?,Disque dur,ROM,RAM,Clé USB,c
20,Quel protocole est utilisé pour sécuriser la navigation sur un site web ?,HTTP,HTTPs,FTP,SMTP,b
21,Que signifie l'acronyme "IP" en réseau informatique ?,Internet Provider,Internet Protocol,Internal Protocol,Internet Port,b
22,Quel est le nom du langage de script principalement utilisé pour le développement web côté client ?,Python,JavaScript,C++,Java,b
23,Laquelle de ces extensions de fichier correspond à un fichier image ?,.txt,.exe,.jpg,.docx,c
24,Qu’est-ce qu’un "cookie" en informatique ?,Un virus,Un petit programme stocké par le navigateur,Une mesure de performance,Une partie du disque dur,b
25,Quelle entreprise développe le système d'exploitation macOS ?,Microsoft,Apple,Google,IBM,b
26,Quelle est la fonction principale d’un "routeur" ?,Stocker des données,Créer un réseau,Diriger le trafic entre réseaux,Imprimer des documents,c
27,Quelle est la vitesse d'un réseau Ethernet standard ?,10 Mbps,100 Mbps,1 Gbps,10 Gbps,b
28,Qu’est-ce qu’un "logiciel open source" ?,Un logiciel gratuit,Un logiciel payant,Un logiciel dont le code est accessible au public,Un logiciel piraté,c
